ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
NTRS,2023-06-27,2023-06-29,65.43,66.64,1.70,16.99,TP
NTRS,2024-01-23,2024-01-31,75.85,74.18,-2.35,-23.48,OB_Inv
NTRS,2024-03-04,2024-03-06,79.11,75.71,-4.45,-44.48,OB_Inv
NTRS,2024-03-08,2024-03-14,77.27,75.45,-2.51,-25.10,OB_Inv
NTRS,2024-10-17,2024-10-23,92.57,97.60,5.29,52.92,TP
NTRS,2024-10-30,2024-11-01,96.63,95.61,-1.21,-12.09,OB_Inv
NTRS,2024-11-20,2024-12-11,103.91,101.30,-2.67,-26.71,OB_Inv
NTRS,2025-03-10,2025-03-10,98.92,98.07,-1.00,-10.02,SL
NTRS,2025-05-27,2025-06-10,103.99,108.19,3.88,38.81,TP
NTRS,2025-06-17,2025-06-23,107.77,111.93,3.71,37.07,TP
NTRS,2025-06-26,2025-07-23,121.05,119.35,-1.55,-15.52,SL
NTRS,2025-07-24,2025-10-10,121.97,124.02,1.53,15.33,SL
NTRS,2025-12-22,2025-12-31,138.23,135.20,-2.34,-23.41,OB_Inv
NUE,2020-05-15,2020-05-18,33.37,36.81,10.15,101.47,TP
NUE,2020-09-14,2020-09-17,41.92,43.62,3.90,39.01,TP
NUE,2020-12-09,2020-12-11,52.17,50.94,-2.50,-24.97,SL
NUE,2020-12-14,2020-12-14,52.46,50.94,-3.04,-30.44,SL
NUE,2021-03-22,2021-03-23,65.82,62.24,-5.58,-55.85,OB_Inv
NUE,2021-03-31,2021-04-01,75.72,72.20,-4.79,-47.95,SL
NUE,2021-04-05,2021-04-08,75.26,72.21,-4.20,-42.02,SL
NUE,2021-04-09,2021-04-13,74.58,72.54,-2.88,-28.84,OB_Inv
NUE,2021-04-15,2021-04-21,73.73,72.26,-2.13,-21.34,SL
NUE,2021-04-22,2021-04-22,72.88,72.25,-1.03,-10.25,SL
NUE,2021-05-14,2021-06-01,93.03,102.21,9.72,97.16,TP
NUE,2021-06-04,2021-06-15,100.08,93.09,-7.14,-71.37,SL
NUE,2021-08-04,2021-08-05,98.65,94.47,-4.39,-43.86,OB_Inv
